ndx,Isolates,Hosts,Pyroprints,Species
0,4,1,8,Bobcat
1,4,2,8,Common Loon
2,4,2,8,Coyote
3,4,2,8,Elephant Seal
4,4,2,11,Great Horned Owl
5,4,1,8,Grey Fox
6,4,1,8,Rabbit
7,4,2,9,Racoon
8,4,2,11,Red-shoulder Hawk
9,5,3,13,Barn Owl
10,5,2,11,Red Tailed Hawk
11,6,1,12,Bear
12,6,3,12,Sea Lion
13,8,3,18,Pelican
14,10,3,20,Sea Otter
15,11,31,22,Seagull
16,12,5,24,Opossum
17,15,8,30,Sparrow
18,20,2,40,Deer
19,28,14,59,Cliff Sparrow
20,32,5,64,Mountain Lion
21,37,1,74,Bat
22,39,36,91,Cat
23,40,15,82,Chicken
24,51,49,102,Horse
25,66,32,149,Pig
26,72,36,177,Wild Turkey
27,94,50,200,Sheep
28,194,107,515,Pigeon
29,196,50,401,Ground Squirrel
30,269,50,573,Dog
31,1590,227,4189,Human
32,1838,427,3772,Cow